,returns,lengths,speeds,action_probs,actor_loss,critic_loss
0,43.28125000000003,53.0,18.699899300270445,[0.17924528 0.57783019 0.08018868 0.         0.16273585],-0.11653156,0.18972266
1,56.04687499999997,64.0,22.34680670373755,[0.00195312 0.54882812 0.17382812 0.0703125  0.20507812],-0.07455206,0.18602964
2,38.578125,43.125,21.270987575542478,[0.05797101 0.16231884 0.03188406 0.49275362 0.25507246],-0.05810256,0.14696077
3,40.8125,45.625,21.87632391076724,[0.         0.17534247 0.06575342 0.47671233 0.28219178],-0.07671052,0.20741749
4,28.723958333333336,33.25,19.814708747350043,[0.0075188  0.22932331 0.20676692 0.41729323 0.13909774],-0.069962725,0.19256969
5,46.88020833333333,51.875,22.671169912859746,[0.00481928 0.31084337 0.10843373 0.52048193 0.05542169],-0.07387808,0.21753097
6,41.140625,45.75,22.04264578972293,[0.01639344 0.28688525 0.05191257 0.50273224 0.1420765 ],-0.07548417,0.20461309
7,46.04166666666667,51.125,21.77360826164672,[0.01222494 0.25183374 0.11246944 0.49388753 0.12958435],-0.067433536,0.21324527
8,43.75,48.875,22.20122653050595,[0.01278772 0.28132992 0.04347826 0.50895141 0.15345269],-0.057902668,0.18626079
9,42.593750000000036,47.375,22.25720598442314,[0.44591029 0.27440633 0.04485488 0.14511873 0.08970976],-0.06623159,0.19506273
10,38.0,42.5,21.457629686746422,[0.00588235 0.28235294 0.11470588 0.49705882 0.1       ],-0.05302155,0.18413238
11,32.390625,36.75,20.534564013100415,[0.         0.24489796 0.04761905 0.49319728 0.21428571],-0.063926846,0.2196899
12,44.78125,50.0,22.593254327641468,[0.     0.1775 0.1475 0.5075 0.1675],-0.053840138,0.14541267
13,41.557291666666664,45.75,22.08904019787799,[0.         0.14754098 0.11748634 0.55191257 0.18306011],-0.055399373,0.22086322
14,47.078125,51.75,22.818284840148802,[0.         0.14251208 0.1763285  0.55072464 0.13043478],-0.05866318,0.10469088
15,44.583333333333336,49.5,22.75683092428595,[0.         0.57323232 0.17424242 0.11868687 0.13383838],-0.062466525,0.19138677
16,37.015624999999986,42.25,20.58252725555728,[0.00591716 0.58284024 0.20118343 0.12130178 0.0887574 ],-0.06724919,0.16623694
17,45.08854166666667,50.0,23.11566894968659,[0.     0.545  0.235  0.1375 0.0825],-0.06876491,0.19975422
