,returns,lengths,speeds,action_probs,loss
166,70.77161232010795,76.25,26.036217093931032,[0.00819672 0.20163934 0.35737705 0.31639344 0.11639344],1.513243
167,29.25621317922232,32.125,25.747066856731045,[0.03501946 0.3151751  0.19066148 0.25680934 0.20233463],1.513243
168,47.43511380232924,51.875,26.94937077976829,[0.00963855 0.14939759 0.46024096 0.29638554 0.08433735],1.513243
169,36.28709754661127,39.5,26.787897341215682,[0.04746835 0.25949367 0.31962025 0.2721519  0.10126582],1.513243
170,33.353535064633434,35.875,27.141231737169452,[0.06620209 0.26132404 0.32752613 0.28222997 0.06271777],1.513243
171,42.55037948868512,45.875,27.63060512572302,[0.02997275 0.21253406 0.40871935 0.30517711 0.04359673],1.513243
172,28.751159752513146,30.75,27.703968347466436,[0.07723577 0.12601626 0.42276423 0.31300813 0.06097561],1.513243
173,38.42787745323542,40.25,28.423854904923225,[0.03416149 0.17701863 0.1863354  0.5621118  0.04037267],1.513243
174,33.251705972978094,35.125,28.15468020555859,[0.07829181 0.14234875 0.23487544 0.50177936 0.04270463],1.513243
175,39.07491904334715,41.0,28.453858637683958,[0.06402439 0.23170732 0.13109756 0.53963415 0.03353659],1.513243
176,37.83557567301128,40.375,27.230754960291858,[0.02167183 0.11145511 0.32817337 0.42724458 0.11145511],1.513243
177,38.177515196719355,42.125,26.734700834119664,[0.13649852 0.15133531 0.22551929 0.40059347 0.08605341],1.513243
178,43.61348643550015,47.75,25.273823204239925,[0.03141361 0.13612565 0.39790576 0.2591623  0.17539267],1.513243
179,58.9429819140002,65.25,24.18923318887508,[0.05363985 0.17241379 0.33333333 0.25095785 0.18965517],1.513243
180,33.89473643550014,36.5,26.219394241472575,[0.01712329 0.09931507 0.3630137  0.28767123 0.23287671],1.513243
181,65.62879405907546,71.25,25.130679263761607,[0.00350877 0.12982456 0.40175439 0.28947368 0.1754386 ],1.513243
182,72.70961175988923,80.0,24.744356808535592,[0.00625   0.196875  0.4234375 0.253125  0.1203125],1.513243
183,59.54331072583358,64.125,26.35813059137093,[0.         0.15789474 0.39376218 0.30604288 0.14230019],1.513243
184,51.16362293173548,55.875,25.252672459645204,[0.         0.15659955 0.46085011 0.29082774 0.0917226 ],1.513243
185,55.14453254302969,59.375,26.93314325008162,[0.         0.09684211 0.50526316 0.29052632 0.10736842],1.513243
186,48.40772089650037,50.875,28.186784970581552,[0.002457   0.1031941  0.37100737 0.43734644 0.08599509],1.513243
187,55.90763010270247,60.875,26.459592148665934,[0.01026694 0.08008214 0.56057495 0.27720739 0.07186858],1.513243
188,54.172660613312814,57.75,27.411066035182863,[0.00865801 0.06493506 0.41991342 0.44155844 0.06493506],1.513243
189,51.84765070951327,56.25,26.091921285245867,[0.01111111 0.06666667 0.50222222 0.25111111 0.16888889],1.513243
190,50.203611371007824,54.625,26.753055120799182,[0.01601831 0.08009153 0.53546911 0.29977117 0.06864989],1.513243
191,47.7258184747493,52.875,24.853643235566047,[0.02836879 0.20567376 0.41371158 0.26477541 0.08747045],1.513243
192,42.85850189121564,46.125,27.226898692185635,[0.02168022 0.09214092 0.38211382 0.39566396 0.10840108],1.513243
193,58.54331072583361,63.5,26.158898438729103,[0.0492126  0.10629921 0.43503937 0.29330709 0.11614173],1.513243
194,37.1348215366112,41.125,26.20869098749105,[0.02431611 0.16413374 0.31914894 0.35866261 0.1337386 ],1.513243
195,55.488707438032854,60.0,26.6746029735328,[0.00625    0.16666667 0.34791667 0.42291667 0.05625   ],1.513243
196,41.94334754661126,45.125,26.378588515696286,[0.01385042 0.13019391 0.37119114 0.30193906 0.18282548],1.513243
197,68.62433158945785,75.0,24.60794703307834,[0.00166667 0.175      0.35833333 0.29666667 0.16833333],1.513243
198,61.36933398211141,66.25,26.22701042398668,[0.00188679 0.08867925 0.47924528 0.30188679 0.12830189],1.513243
199,58.84472031202091,63.375,25.55608117360997,[0.00197239 0.20907298 0.27218935 0.39053254 0.12623274],1.513243
